Batoh{pocetPredmetov=217, aktualnaHmotnost=11986.0, hodnotaUF=27185.0}
Predmet{cena=90.0, vaha=51.0, koeficient=1.7647058823529411}
Predmet{cena=120.0, vaha=68.0, koeficient=1.7647058823529411}
Predmet{cena=105.0, vaha=59.0, koeficient=1.7796610169491525}
Predmet{cena=105.0, vaha=59.0, koeficient=1.7796610169491525}
Predmet{cena=95.0, vaha=53.0, koeficient=1.7924528301886793}
Predmet{cena=140.0, vaha=78.0, koeficient=1.794871794871795}
Predmet{cena=140.0, vaha=78.0, koeficient=1.794871794871795}
Predmet{cena=140.0, vaha=78.0, koeficient=1.794871794871795}
Predmet{cena=115.0, vaha=64.0, koeficient=1.796875}
Predmet{cena=90.0, vaha=50.0, koeficient=1.8}
Predmet{cena=90.0, vaha=50.0, koeficient=1.8}
Predmet{cena=100.0, vaha=55.0, koeficient=1.8181818181818181}
Predmet{cena=100.0, vaha=55.0, koeficient=1.8181818181818181}
Predmet{cena=135.0, vaha=74.0, koeficient=1.8243243243243243}
Predmet{cena=115.0, vaha=63.0, koeficient=1.8253968253968254}
Predmet{cena=75.0, vaha=41.0, koeficient=1.829268292682927}
Predmet{cena=130.0, vaha=71.0, koeficient=1.8309859154929577}
Predmet{cena=145.0, vaha=79.0, koeficient=1.8354430379746836}
Predmet{cena=120.0, vaha=65.0, koeficient=1.8461538461538463}
Predmet{cena=135.0, vaha=73.0, koeficient=1.8493150684931507}
Predmet{cena=135.0, vaha=73.0, koeficient=1.8493150684931507}
Predmet{cena=145.0, vaha=78.0, koeficient=1.858974358974359}
Predmet{cena=95.0, vaha=51.0, koeficient=1.8627450980392157}
Predmet{cena=110.0, vaha=59.0, koeficient=1.8644067796610169}
Predmet{cena=125.0, vaha=67.0, koeficient=1.8656716417910448}
Predmet{cena=125.0, vaha=67.0, koeficient=1.8656716417910448}
Predmet{cena=75.0, vaha=40.0, koeficient=1.875}
Predmet{cena=150.0, vaha=80.0, koeficient=1.875}
Predmet{cena=135.0, vaha=72.0, koeficient=1.875}
Predmet{cena=105.0, vaha=56.0, koeficient=1.875}
